bigram,neg_count,pos_count,pos_perc,neg_perc
though get,0,30,inf,0.0
though would,-2,39,19.5,0.05128205128205128
three time,-6,28,4.666666666666667,0.21428571428571427
throw away,-9,17,1.8888888888888888,0.5294117647058824
tiger mouth,-1,38,38.0,0.02631578947368421
tiger sugar,-20,300,15.0,0.06666666666666667
time also,-2,23,11.5,0.08695652173913043
time always,-2,29,14.5,0.06896551724137931
time area,-1,32,32.0,0.03125
time around,-5,36,7.2,0.1388888888888889
time come,-8,113,14.125,0.07079646017699115
time day,-1,27,27.0,0.037037037037037035
time definitely,0,33,inf,0.0
time drink,-3,34,11.333333333333334,0.08823529411764706
time favorite,0,31,inf,0.0
time food,-1,27,27.0,0.037037037037037035
time get,-14,137,9.785714285714286,0.10218978102189781
time make,-4,30,7.5,0.13333333333333333
time never,-4,23,5.75,0.17391304347826086
time one,-1,34,34.0,0.029411764705882353
time order,-12,76,6.333333333333333,0.15789473684210525
time place,-2,27,13.5,0.07407407407407407
time since,-2,41,20.5,0.04878048780487805
time time,-3,34,11.333333333333334,0.08823529411764706
time try,-5,138,27.6,0.036231884057971016
time visit,-2,54,27.0,0.037037037037037035
time want,-5,24,4.8,0.20833333333333334
time week,-3,43,14.333333333333334,0.06976744186046512
time would,-1,50,50.0,0.02
tiny shop,-3,30,10.0,0.1
tofu sandwich,0,28,inf,0.0
top drink,-1,34,34.0,0.029411764705882353
top notch,0,49,inf,0.0
totally worth,0,62,inf,0.0
try also,-1,28,28.0,0.03571428571428571
try black,0,48,inf,0.0
try brown,-3,72,24.0,0.041666666666666664
try different,-3,52,17.333333333333332,0.057692307692307696
try drink,-2,157,78.5,0.012738853503184714
try every,-4,47,11.75,0.0851063829787234
try first,0,32,inf,0.0
try flavor,-4,145,36.25,0.027586206896551724
try food,0,54,inf,0.0
try get,-10,68,6.8,0.14705882352941177
try green,-1,25,25.0,0.04
try ice,-1,53,53.0,0.018867924528301886
try item,0,35,inf,0.0
try least,-1,25,25.0,0.04
try many,-2,41,20.5,0.04878048780487805
try matcha,-2,43,21.5,0.046511627906976744
try menu,-1,24,24.0,0.041666666666666664
try milk,-6,57,9.5,0.10526315789473684
try new,0,76,inf,0.0
try next,-2,57,28.5,0.03508771929824561
try one,-2,84,42.0,0.023809523809523808
try oolong,0,38,inf,0.0
try order,-8,37,4.625,0.21621621621621623
try place,-14,202,14.428571428571429,0.06930693069306931
try rice,-1,32,32.0,0.03125
try soft,-2,53,26.5,0.03773584905660377
try something,-2,79,39.5,0.02531645569620253
try taro,-2,48,24.0,0.041666666666666664
try thing,-1,26,26.0,0.038461538461538464
two drink,-1,35,35.0,0.02857142857142857
two flavor,-1,31,31.0,0.03225806451612903
two people,0,38,inf,0.0
unique flavor,-1,65,65.0,0.015384615384615385
unlike place,-1,33,33.0,0.030303030303030304
unlimited topping,-7,70,10.0,0.1
update review,-3,22,7.333333333333333,0.13636363636363635
upgrade stubby,-1,35,35.0,0.02857142857142857
upon place,-1,27,27.0,0.037037037037037035
use fresh,-1,51,51.0,0.0196078431372549
use lactaid,0,34,inf,0.0
use powder,0,48,inf,0.0
use real,-7,121,17.285714285714285,0.05785123966942149
usually get,-8,138,17.25,0.057971014492753624
usually like,-1,28,28.0,0.03571428571428571
usually order,-4,40,10.0,0.1
vanilla ice,-4,45,11.25,0.08888888888888889
variety drink,-1,32,32.0,0.03125
variety flavor,-3,48,16.0,0.0625
vegetarian chicken,-3,35,11.666666666666666,0.08571428571428572
vermicelli salad,-3,39,13.0,0.07692307692307693
vietnamese coffee,-6,107,17.833333333333332,0.056074766355140186
vietnamese food,-4,40,10.0,0.1
vietnamese sandwich,-9,138,15.333333333333334,0.06521739130434782
vip card,0,27,inf,0.0
visit nyc,0,39,inf,0.0
visit place,-2,29,14.5,0.06896551724137931
wait back,0,70,inf,0.0
wait come,-2,63,31.5,0.031746031746031744
wait drink,-3,44,14.666666666666666,0.06818181818181818
wait get,-1,32,32.0,0.03125
wait line,-11,86,7.818181818181818,0.12790697674418605
wait long,-10,81,8.1,0.12345679012345678
wait min,-14,119,8.5,0.11764705882352941
wait minute,-11,94,8.545454545454545,0.11702127659574468
wait order,-4,66,16.5,0.06060606060606061
wait outside,-3,37,12.333333333333334,0.08108108108108109
wait time,-3,56,18.666666666666668,0.05357142857142857
wait try,-2,73,36.5,0.0273972602739726
walk around,-3,88,29.333333333333332,0.03409090909090909
walk distance,-3,24,8.0,0.125
walk past,-1,30,30.0,0.03333333333333333
walk place,-1,26,26.0,0.038461538461538464
want back,-2,24,12.0,0.08333333333333333
want come,-7,47,6.714285714285714,0.14893617021276595
want drink,-8,47,5.875,0.1702127659574468
want get,-6,59,9.833333333333334,0.1016949152542373
want give,-7,25,3.5714285714285716,0.28
want good,-3,22,7.333333333333333,0.13636363636363635
want like,-3,24,8.0,0.125
want order,-6,30,5.0,0.2
want something,-2,49,24.5,0.04081632653061224
want try,-9,211,23.444444444444443,0.04265402843601896
watch make,-1,30,30.0,0.03333333333333333
way back,-2,25,12.5,0.08
way get,-3,54,18.0,0.05555555555555555
way good,-2,50,25.0,0.04
way like,0,45,inf,0.0
way much,-4,35,8.75,0.11428571428571428
way sweet,-3,48,16.0,0.0625
wear mask,0,29,inf,0.0
week ago,-5,27,5.4,0.18518518518518517
well also,0,26,inf,0.0
well definitely,-2,23,11.5,0.08695652173913043
well make,-1,46,46.0,0.021739130434782608
well worth,-1,41,41.0,0.024390243902439025
well would,0,26,inf,0.0
west coast,-5,32,6.4,0.15625
white pearl,-4,49,12.25,0.08163265306122448
whole milk,-7,31,4.428571428571429,0.22580645161290322
whole thing,-2,33,16.5,0.06060606060606061
wide selection,0,38,inf,0.0
wide variety,-2,45,22.5,0.044444444444444446
winter melon,-3,35,11.666666666666666,0.08571428571428572
wish could,-1,43,43.0,0.023255813953488372
wish would,-1,52,52.0,0.019230769230769232
within minute,-1,42,42.0,0.023809523809523808
worker friendly,-2,25,12.5,0.08
worker nice,0,25,inf,0.0
worth hype,-4,32,8.0,0.125
worth price,-7,54,7.714285714285714,0.12962962962962962
worth try,-4,94,23.5,0.0425531914893617
worth visit,-2,29,14.5,0.06896551724137931
worth wait,-4,88,22.0,0.045454545454545456
would back,-4,60,15.0,0.06666666666666667
would come,-16,246,15.375,0.06504065040650407
would definitely,0,347,inf,0.0
would expect,-4,44,11.0,0.09090909090909091
would get,-11,119,10.818181818181818,0.09243697478991597
would give,-12,87,7.25,0.13793103448275862
would good,-4,41,10.25,0.0975609756097561
would highly,-1,71,71.0,0.014084507042253521
would like,-7,180,25.714285714285715,0.03888888888888889
would love,0,65,inf,0.0
would make,-4,48,12.0,0.08333333333333333
would never,-9,27,3.0,0.3333333333333333
would nice,-1,32,32.0,0.03125
would order,-6,44,7.333333333333333,0.13636363636363635
would prefer,-4,23,5.75,0.17391304347826086
would probably,-6,73,12.166666666666666,0.0821917808219178
would rather,-6,26,4.333333333333333,0.23076923076923078
would recommend,-20,318,15.9,0.06289308176100629
would say,-11,180,16.363636363636363,0.06111111111111111
would still,-1,29,29.0,0.034482758620689655
would suggest,-4,28,7.0,0.14285714285714285
would taste,0,25,inf,0.0
would think,-5,28,5.6,0.17857142857142858
would try,-3,46,15.333333333333334,0.06521739130434782
would want,-2,29,14.5,0.06896551724137931
would way,-1,33,33.0,0.030303030303030304
wow milk,-7,28,4.0,0.25
write review,-2,57,28.5,0.03508771929824561
yaya chicken,-1,47,47.0,0.02127659574468085
yaya garden,-1,39,39.0,0.02564102564102564
year ago,-6,64,10.666666666666666,0.09375
yelp check,-1,30,30.0,0.03333333333333333
yelp review,-3,37,12.333333333333334,0.08108108108108109
yet try,0,34,inf,0.0
york city,-3,44,14.666666666666666,0.06818181818181818
