bigram,neg_count,pos_count,pos_perc,neg_perc
pick drink,-2,27,13.5,0.07407407407407407
pick order,-2,19,9.5,0.10526315789473684
place also,-3,56,18.666666666666668,0.05357142857142857
place always,-3,46,15.333333333333334,0.06521739130434782
place amaze,0,33,inf,0.0
place area,-4,58,14.5,0.06896551724137931
place around,-3,54,18.0,0.05555555555555555
place awesome,0,42,inf,0.0
place best,-1,40,40.0,0.025
place chinatown,-3,94,31.333333333333332,0.031914893617021274
place city,-2,70,35.0,0.02857142857142857
place clean,-3,59,19.666666666666668,0.05084745762711865
place close,-2,33,16.5,0.06060606060606061
place come,-6,52,8.666666666666666,0.11538461538461539
place cute,0,40,inf,0.0
place definitely,-1,93,93.0,0.010752688172043012
place drink,-2,50,25.0,0.04
place eat,0,27,inf,0.0
place even,-4,23,5.75,0.17391304347826086
place ever,-7,78,11.142857142857142,0.08974358974358974
place favorite,0,27,inf,0.0
place find,0,32,inf,0.0
place first,-3,29,9.666666666666666,0.10344827586206896
place friend,-1,54,54.0,0.018518518518518517
place get,-19,226,11.894736842105264,0.084070796460177
place give,-2,24,12.0,0.08333333333333333
place good,-8,93,11.625,0.08602150537634409
place grab,-2,40,20.0,0.05
place great,-2,125,62.5,0.016
place hang,0,32,inf,0.0
place ice,-1,24,24.0,0.041666666666666664
place know,-1,35,35.0,0.02857142857142857
place like,-2,110,55.0,0.01818181818181818
place little,0,26,inf,0.0
place look,-2,47,23.5,0.0425531914893617
place love,0,57,inf,0.0
place make,-1,67,67.0,0.014925373134328358
place manhattan,-2,25,12.5,0.08
place many,-2,29,14.5,0.06896551724137931
place milk,0,28,inf,0.0
place much,-1,43,43.0,0.023255813953488372
place neighborhood,-2,25,12.5,0.08
place new,-1,46,46.0,0.021739130434782608
place nice,-2,33,16.5,0.06060606060606061
place nyc,-1,72,72.0,0.013888888888888888
place offer,-1,40,40.0,0.025
place one,-2,46,23.0,0.043478260869565216
place open,-3,60,20.0,0.05
place order,-18,117,6.5,0.15384615384615385
place place,-3,39,13.0,0.07692307692307693
place pretty,0,64,inf,0.0
place quick,0,31,inf,0.0
place really,-5,114,22.8,0.043859649122807015
place serve,-1,38,38.0,0.02631578947368421
place since,-8,37,4.625,0.21621621621621623
place sit,-2,66,33.0,0.030303030303030304
place small,-3,102,34.0,0.029411764705882353
place star,-5,49,9.8,0.10204081632653061
place still,-2,25,12.5,0.08
place stop,-1,35,35.0,0.02857142857142857
place super,0,50,inf,0.0
place take,-3,34,11.333333333333334,0.08823529411764706
place taste,-3,25,8.333333333333334,0.12
place think,-3,26,8.666666666666666,0.11538461538461539
place though,0,28,inf,0.0
place time,-3,25,8.333333333333334,0.12
place tiny,-2,27,13.5,0.07407407407407407
place try,-6,114,19.0,0.05263157894736842
place use,-3,63,21.0,0.047619047619047616
place want,-5,40,8.0,0.125
place worth,-1,28,28.0,0.03571428571428571
place would,-1,81,81.0,0.012345679012345678
play board,0,32,inf,0.0
pleasantly surprise,0,93,inf,0.0
popcorn chicken,-14,307,21.928571428571427,0.04560260586319218
popular drink,0,30,inf,0.0
pork bahn,-3,26,8.666666666666666,0.11538461538461539
pork banh,-4,41,10.25,0.0975609756097561
pork belly,-3,164,54.666666666666664,0.018292682926829267
pork bun,-3,48,16.0,0.0625
pork chop,-11,168,15.272727272727273,0.06547619047619048
pork dumpling,0,28,inf,0.0
pork rice,-2,36,18.0,0.05555555555555555
pork sandwich,-9,65,7.222222222222222,0.13846153846153847
portion size,-1,55,55.0,0.01818181818181818
pre made,0,0,,
pretty big,0,47,inf,0.0
pretty cool,-1,31,31.0,0.03225806451612903
pretty decent,-3,41,13.666666666666666,0.07317073170731707
pretty fast,-2,36,18.0,0.05555555555555555
pretty good,-9,507,56.333333333333336,0.01775147928994083
pretty much,-2,114,57.0,0.017543859649122806
pretty quick,0,57,inf,0.0
pretty quickly,0,31,inf,0.0
pretty small,0,52,inf,0.0
pretty standard,-2,40,20.0,0.05
pretty sure,-1,28,28.0,0.03571428571428571
pretty sweet,-1,35,35.0,0.02857142857142857
pretty tasty,-1,27,27.0,0.037037037037037035
price also,-1,36,36.0,0.027777777777777776
price bit,-2,39,19.5,0.05128205128205128
price drink,-2,26,13.0,0.07692307692307693
price good,-2,35,17.5,0.05714285714285714
price great,0,34,inf,0.0
price point,-3,45,15.0,0.06666666666666667
price pretty,0,36,inf,0.0
price reasonable,-1,69,69.0,0.014492753623188406
price right,-2,23,11.5,0.08695652173913043
price would,-3,25,8.333333333333334,0.12
pricy side,-1,25,25.0,0.04
probably back,-2,23,11.5,0.08695652173913043
probably best,-5,60,12.0,0.08333333333333333
probably come,-3,27,9.0,0.1111111111111111
probably one,-1,34,34.0,0.029411764705882353
probably would,-2,27,13.5,0.07407407407407407
punch card,-2,29,14.5,0.06896551724137931
quality drink,-5,39,7.8,0.1282051282051282
quality good,-1,30,30.0,0.03333333333333333
quality ingredient,-3,53,17.666666666666668,0.05660377358490566
quick bite,-2,58,29.0,0.034482758620689655
quick friendly,0,25,inf,0.0
quick lunch,-1,27,27.0,0.037037037037037035
quick service,-4,72,18.0,0.05555555555555555
quite good,-1,43,43.0,0.023255813953488372
quite small,-1,27,27.0,0.037037037037037035
ramen good,-1,26,26.0,0.038461538461538464
ramen noodle,-4,32,8.0,0.125
ramen place,-2,34,17.0,0.058823529411764705
read review,-3,23,7.666666666666667,0.13043478260869565
real deal,-2,29,14.5,0.06896551724137931
real milk,-1,31,31.0,0.03225806451612903
real taro,-1,86,86.0,0.011627906976744186
really appreciate,0,48,inf,0.0
really bad,-12,14,1.1666666666666667,0.8571428571428571
really cool,0,36,inf,0.0
really cute,-1,68,68.0,0.014705882352941176
really delicious,0,41,inf,0.0
really enjoy,-4,167,41.75,0.023952095808383235
really fast,-2,25,12.5,0.08
really fresh,0,32,inf,0.0
really friendly,-3,50,16.666666666666668,0.06
really good,-8,545,68.125,0.014678899082568808
really great,-3,61,20.333333333333332,0.04918032786885246
really hard,-3,21,7.0,0.14285714285714285
really know,-1,25,25.0,0.04
really like,-17,257,15.117647058823529,0.06614785992217899
really love,-5,67,13.4,0.07462686567164178
really make,-2,36,18.0,0.05555555555555555
really nice,0,152,inf,0.0
really really,-2,49,24.5,0.04081632653061224
really small,-1,29,29.0,0.034482758620689655
really sweet,0,41,inf,0.0
really taste,-1,76,76.0,0.013157894736842105
really tasty,0,39,inf,0.0
really want,-13,77,5.923076923076923,0.16883116883116883
really well,-2,53,26.5,0.03773584905660377
really wrong,0,25,inf,0.0
reason give,-2,25,12.5,0.08
reasonable price,-4,70,17.5,0.05714285714285714
reasonably price,-2,58,29.0,0.034482758620689655
recommend anyone,-1,35,35.0,0.02857142857142857
recommend come,-1,38,38.0,0.02631578947368421
recommend get,-1,94,94.0,0.010638297872340425
recommend place,-8,164,20.5,0.04878048780487805
recommend try,-1,77,77.0,0.012987012987012988
red bean,-17,266,15.647058823529411,0.06390977443609022
refresh hot,-2,29,14.5,0.06896551724137931
refreshing drink,-2,34,17.0,0.058823529411764705
regular milk,-5,118,23.6,0.0423728813559322
regular size,-4,79,19.75,0.05063291139240506
regular sugar,-2,35,17.5,0.05714285714285714
return try,-1,34,34.0,0.029411764705882353
review place,-3,30,10.0,0.1
rice ball,-27,565,20.925925925925927,0.047787610619469026
rice bowl,-3,93,31.0,0.03225806451612903
rice vermicelli,-3,34,11.333333333333334,0.08823529411764706
rich creamy,0,25,inf,0.0
rich flavor,0,29,inf,0.0
right amount,-3,157,52.333333333333336,0.01910828025477707
right away,-2,33,16.5,0.06060606060606061
right front,0,37,inf,0.0
right next,-8,47,5.875,0.1702127659574468
rise milk,-2,82,41.0,0.024390243902439025
roast oolong,-3,59,19.666666666666668,0.05084745762711865
roll good,-2,29,14.5,0.06896551724137931
roll ice,-6,45,7.5,0.13333333333333333
