id,alias,name,avg_rating,url,review_count,address,city,state,zip_code,latitude,longitude,date,rating,review
V49pn2KD8848gpSRMqLIww,bar-pa-tea-new-york-2,Bar Pa Tea,4.5,https://www.yelp.com/biz/bar-pa-tea-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,826,,New York,NY,10012,40.72583832986661,-73.99800456775446,2022-07-06,5.0,Gloria & the entire team at Bar Pa Tea went above & beyond to making sure our wedding day was perfect. They showed up on a timely manner to setup the bubble...
V49pn2KD8848gpSRMqLIww,bar-pa-tea-new-york-2,Bar Pa Tea,4.5,https://www.yelp.com/biz/bar-pa-tea-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,826,,New York,NY,10012,40.72583832986661,-73.99800456775446,2022-07-13,5.0,We loved having Bar Pa Tea cater during our wedding reception! Our guests loved the flavors and quality of their bubble tea - we picked brown sugar oolong...
V49pn2KD8848gpSRMqLIww,bar-pa-tea-new-york-2,Bar Pa Tea,4.5,https://www.yelp.com/biz/bar-pa-tea-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,826,,New York,NY,10012,40.72583832986661,-73.99800456775446,2020-11-29,5.0,"- absolutely one of my favorite ice cream places in the city
- recommend: swirl (black tea/oolong tea) w/ large and mini bubbles
- black tea is definitely..."
AYjVpQ5jYz5gJJqXh_B_CA,teado-tea-shop-new-york-6,Teado Tea Shop,4.5,https://www.yelp.com/biz/teado-tea-shop-new-york-6?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,448,145D Hester St,New York,NY,10002,40.7172143,-73.9949616,2022-07-03,5.0,The wait was pretty long when I went on a hot summer day. There were 10 people in line in front of us but took 40 minutes to get to the front. I ordered a...
AYjVpQ5jYz5gJJqXh_B_CA,teado-tea-shop-new-york-6,Teado Tea Shop,4.5,https://www.yelp.com/biz/teado-tea-shop-new-york-6?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,448,145D Hester St,New York,NY,10002,40.7172143,-73.9949616,2022-07-02,5.0,"This place is truly an experience. It's a tiny, well decorated tea shop that's always playing ambient piano music in the background. Only one party is let..."
AYjVpQ5jYz5gJJqXh_B_CA,teado-tea-shop-new-york-6,Teado Tea Shop,4.5,https://www.yelp.com/biz/teado-tea-shop-new-york-6?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,448,145D Hester St,New York,NY,10002,40.7172143,-73.9949616,2022-06-27,5.0,Teado is the go to spot for bubbletea in Chinatown! It has become my husband's favorite spot for Honey Jasmine Green Tea. I've tried a variety such as...
bvuPipiMPe5FURKZh06Zxg,tea-and-milk-astoria,Tea and Milk,4.5,https://www.yelp.com/biz/tea-and-milk-astoria?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,472,32-02 34th Ave,Astoria,NY,11106,40.75904,-73.92631,2022-06-10,5.0,My wife and I have gone to Tea and Milk countless times since 2015. I truly think their bubble tea is the best in the city thanks to the use of very fresh...
bvuPipiMPe5FURKZh06Zxg,tea-and-milk-astoria,Tea and Milk,4.5,https://www.yelp.com/biz/tea-and-milk-astoria?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,472,32-02 34th Ave,Astoria,NY,11106,40.75904,-73.92631,2022-06-18,5.0,So in addition to my typical order of tea I decided to try one of their bahn mi sandwich offerings. Tough choosing between all of their scrumptious...
bvuPipiMPe5FURKZh06Zxg,tea-and-milk-astoria,Tea and Milk,4.5,https://www.yelp.com/biz/tea-and-milk-astoria?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,472,32-02 34th Ave,Astoria,NY,11106,40.75904,-73.92631,2022-06-02,5.0,"I've been slowly making my way through the menu and right now my favorites are the Thai Milk Tea, Roasted Oolong Brown Sugar Milk Tea  (50%, less sugar, w..."
fUcjBGgmTlvxXn2azvAijw,yumpling-long-island-city,Yumpling,4.5,https://www.yelp.com/biz/yumpling-long-island-city?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,314,4911 Vernon Blvd,Long Island City,NY,11101,40.7430199,-73.9538229,2022-06-11,5.0,10/10 would eat here again and again and again. Very cute Taiwanese place to grab a snack or a whole meal. Their Taiwanese popcorn chicken is so crispy and...
